comment_id,comment,comment_noun,school_candidate,preprocessed_candidate,school_candidate_count,gt_match,gt_match_count,ans,ans_count
C0001,동국대학교,동국대학교,동국대학교,동국대학교,1,동국대학교,1,동국대학교,1
C0002,이번엔 중동고 차례입니다 🍗,이번 중동고 차례,중동고,중동고등학교,1,중동고등학교,1,중동고등학교,1
C0003,우리 반/동아리 대표로 서초초 신청합니다!,우리 반 동아리 대표 서초초 신청,서초초,서초초등학교,1,,0,서초초등학교,1
C0004,잠실중 친구가 놀러왔지만 치킨은 건국대로 주세요,잠실중 친구 치킨 건국대,잠실중 건국대,잠실중학교 건국대학교,2,잠실중학교 건국대학교,2,잠실중학교 건국대학교,2
C0005,이화여대부속초 친구랑 서초초 친구 같이 보고 있는데 저는 이화여대부속초로 신청!,이화여대부속초 친구 서초초 같이 보고 저 이화여대부속초로 신청,이화여대부속초 서초초 보고,이화여자대학교사범대학부속초등학교 서초초등학교 보고등학교,3,이화여자대학교사범대학부속초등학교,1,이화여자대학교사범대학부속초등학교,1
C0006,학식 말고 치킨 먹고 싶어요 인하대학교,학식 치킨 인하대학교,인하대학교,인하대학교,1,인하대학교,1,인하대학교,1
C0007,서울공업고.. 오늘만 기다렸어요,서울공업 오늘,서울공업고,서울공업고등학교,1,서울공업고등학교,1,서울공업고등학교,1
C0008,서강대 학생들 모여라,서강대 학생들,서강대,서강대학교,1,서강대학교,1,서강대학교,1
C0009,동아리방에서 기다릴게요 서초중,동아리방 서초중,서초중,서초중학교,1,서초중학교,1,서초중학교,1
C0010,대치중 학생입니다 대치중 뽑아주세요,대치중 학생,대치중,대치중학교,1,대치중학교,1,대치중학교,1
C0011,시험기간엔 서초초 치킨이 답,시험기간 서초초 치킨 답,서초초,서초초등학교,1,,0,서초초등학교,1
C0012,오늘 회의 많은데 서초중 치킨 지원 부탁드려요,오늘 회의 서초중 치킨 지원,서초중,서초중학교,1,서초중학교,1,서초중학교,1
C0013,동아리방에서 기다릴게요 휘문고,동아리방 휘문고,휘문고,휘문고등학교,1,휘문고등학교,1,휘문고등학교,1
C0014,인하대부속초 / 치킨 / 제발,인하대부속초 치킨 제발,인하대부속초,인하대부속초등학교,1,,0,인하대학교부속초등학교,1
C0015,잠원초등학교 학생입니다. 이벤트 참여합니다.,잠원초등학교 학생 이벤트 참여,잠원초등학교,잠원초등학교,1,잠원초등학교,1,잠원초등학교,1
C0016,시험기간엔 이화여대 치킨이 답,시험기간 이화여대 치킨 답,이화여대,이화여자대학교,1,이화여자대학교,1,이화여자대학교,1
C0017,잠실중 학생들 야근 말고 치킨 먹자 🙏,잠실중 학생들 야근 치킨,잠실중,잠실중학교,1,잠실중학교,1,잠실중학교,1
C0018,동아리방에서 기다릴게요 대치초,동아리방 대치초,대치초,대치초등학교,1,,0,대치초등학교,1
C0019,학식 말고 치킨 먹고 싶어요 연대,학식 치킨 연대,연대,연세대학교,1,연세대학교,1,연세대학교,1
C0020,동아리방에서 기다릴게요 대치중,동아리방 대치중,대치중,대치중학교,1,대치중학교,1,대치중학교,1
C0021,비 오는 날엔 치킨이죠 중앙대 부탁드립니다,비 날 치킨이 중앙대,중앙대,중앙대학교,1,중앙대학교,1,중앙대학교,1
C0022,인하대 학생입니다 인하대 뽑아주세요,인하대 학생,인하대,인하대학교,1,인하대학교,1,인하대학교,1
C0023,연세대 학생입니다 연세대 뽑아주세요,연세대 학생,연세대,연세대학교,1,연세대학교,1,연세대학교,1
C0024,치킨 오면 인증샷 바로 올릴게요 중동고,치킨 인증샷 바로 중동고,중동고,중동고등학교,1,중동고등학교,1,중동고등학교,1
C0025,오늘 회의 많은데 휘문고 치킨 지원 부탁드려요,오늘 회의 휘문고 치킨 지원,휘문고,휘문고등학교,1,휘문고등학교,1,휘문고등학교,1
C0026,배고픈 인하부초 학생들 살려주세요ㅠㅠ,인하부초 학생들,인하부초,인하부초등학교,1,,0,인하부초등학교,1
C0027,시험기간엔 한양대 치킨이 답,시험기간 한양대 치킨 답,한양대,한양대학교,1,한양대학교,1,한양대학교,1
C0028,서울고 축제 준비팀입니다 치킨이면 밤샘 가능,서울 축제 준비팀 치킨이면 밤샘 가능,서울고,서울고등학교,1,서울고등학교,1,서울고등학교,1
C0029,우리 학교는 건대 입니다,우리 학교 건대,학교 건대,학교 건국대학교,2,건국대학교,1,건국대학교,1
C0030,중간고사 버틴 인하대 친구들한테 치킨 한 번만요,중간고사 인하대 친구들 치킨 번만,인하대,인하대학교,1,인하대학교,1,인하대학교,1
C0031,대치초 동아리랑 이화여대부속초 동아리 같이 응원하지만 대표는 대치초,대치초 동아리 이화여대부속초 같이 응원하지 대표,대치초 이화여대부속초,대치초등학교 이화여자대학교사범대학부속초등학교,2,이화여자대학교사범대학부속초등학교,1,이화여자대학교사범대학부속초등학교,1
C0032,한양대 응원단 여기 있습니다!!,한양대 응원단 여기,한양대,한양대학교,1,한양대학교,1,한양대학교,1
C0033,중앙대 친구가 놀러왔지만 치킨은 인하대로 주세요,중앙대 친구 치킨 인하대,중앙대 인하대,중앙대학교 인하대학교,2,중앙대학교 인하대학교,2,중앙대학교 인하대학교,2
C0034,잠실중 친구들이랑 같이 먹고 싶어요,잠실중 친구들이 같이,잠실중,잠실중학교,1,잠실중학교,1,잠실중학교,1
C0035,중동고!!! 치킨 부탁드려요,중동고 치킨,중동고,중동고등학교,1,중동고등학교,1,중동고등학교,1
C0036,오늘 회의 많은데 건국대 치킨 지원 부탁드려요,오늘 회의 건국대 치킨 지원,건국대,건국대학교,1,건국대학교,1,건국대학교,1
C0037,서초중!!! 치킨 부탁드려요,서초중 치킨,서초중,서초중학교,1,서초중학교,1,서초중학교,1
C0038,이대부초 학생들 모여라,이대부초 학생들,이대부초,이화여자대학교사범대학부속초등학교,1,이화여자대학교사범대학부속초등학교,1,이화여자대학교사범대학부속초등학교,1
